Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
491966,21380,WOODEN HAPPY BIRTHDAY GARLAND,2,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21397,BLUE  SPOTTY EGG CUP ,4,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21406,SPOTTY CAT DOORSTOP ,1,2009-12-14 17:16:00,8.65,,United Kingdom
491966,21407,BROWN CHECK CAT DOORSTOP ,1,2009-12-14 17:16:00,8.65,,United Kingdom
491966,21412,VINTAGE GOLD TINSEL REEL,2,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21417,COCKLE SHELL DISH,3,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21425,SKULLS STORAGE BOX LARGE,1,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21427,SKULLS STORAGE BOX SMALL,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21429,RED GINGHAM ROSE JEWELLERY BOX,3,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21432,SET OF 3 CASES WOODLAND DESIGN,1,2009-12-14 17:16:00,13.0,,United Kingdom
491966,21445,12 PINK ROSE PEG PLACE SETTINGS,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21446,12 RED ROSE PEG PLACE SETTINGS,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21477,STRING OF 20 ROSE LIGHTS,1,2009-12-14 17:16:00,26.04,,United Kingdom
491966,21479,WHITE SKULL HOT WATER BOTTLE ,1,2009-12-14 17:16:00,7.78,,United Kingdom
491966,21480,PINK STRIPE HOT WATER BOTTLE,3,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21481,FAWN BLUE HOT WATER BOTTLE,3,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21486,PINK HEART DOTS HOT WATER BOTTLE,6,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21491,SET OF THREE VINTAGE GIFT WRAPS,4,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21531,RETRO SPOT SUGAR JAM BOWL,1,2009-12-14 17:16:00,5.17,,United Kingdom
491966,21535,RETRO SPOT SMALL MILK JUG,2,2009-12-14 17:16:00,5.17,,United Kingdom
491966,21537,RETRO SPOTS PUDDING BOWL,1,2009-12-14 17:16:00,8.65,,United Kingdom
491966,21543,BUTTERFLY WATER TRANSFER TATTOOS ,2,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21553,CERAMIC BIRDHOUSE FINCH BLUE  LARGE,2,2009-12-14 17:16:00,13.0,,United Kingdom
491966,21556,CERAMIC STRAWBERRY MONEY BOX,1,2009-12-14 17:16:00,5.17,,United Kingdom
491966,21576,LETS GO SHOPPING COTTON TOTE BAG,1,2009-12-14 17:16:00,5.17,,United Kingdom
491966,21577,SAVE THE PLANET COTTON TOTE BAG,2,2009-12-14 17:16:00,5.17,,United Kingdom
491966,21578,WOODLAND DESIGN  COTTON TOTE BAG,3,2009-12-14 17:16:00,5.17,,United Kingdom
491966,21611,SET OF 12 LILY BOTANICAL T-LIGHTS,1,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21622,VINTAGE UNION JACK CUSHION COVER,1,2009-12-14 17:16:00,13.87,,United Kingdom
491966,21627,ELEPHANT CARNIVAL POUFFE,1,2009-12-14 17:16:00,30.43,,United Kingdom
491966,21637,ASSORTED SANSKRIT MINI NOTEBOOK,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21641,ASSORTED TUTTI FRUTTI KEYRING BALL,4,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21642,ASSORTED TUTTI FRUTTI PEN,5,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21643,ASSORTED TUTTI FRUTTI MIRROR,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21644,ASSORTED TUTTI FRUTTI HEART BOX,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21647,ASSORTED TUTTI FRUTTI LARGE PURSE,3,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21648,ASSORTED TUTTI FRUTTI SMALL PURSE,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21650,ASSORTED TUTTI FRUTTI BRACELET,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21668,RED STRIPE CERAMIC DRAWER KNOB,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21669,BLUE STRIPE CERAMIC DRAWER KNOB,5,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21671,RED SPOT CERAMIC DRAWER KNOB,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21679,SKULLS  STICKERS,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21680,WOODLAND  STICKERS,3,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21688,SILVER PLATE CANDLE BOWL SMALL,1,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21698,MOCK LOBSTER FRIDGE MAGNET,1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21703,BAG 125g SWIRLY MARBLES,1,2009-12-14 17:16:00,0.83,,United Kingdom
491966,21704,BAG 250g SWIRLY MARBLES,7,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21713,CITRONELLA CANDLE FLOWERPOT,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21725,SWEETIES  STICKERS,2,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21728,METAL MEDINA LANTERN ,1,2009-12-14 17:16:00,26.04,,United Kingdom
491966,21731,RED TOADSTOOL LED NIGHT LIGHT,1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21738,COSY SLIPPER SHOES SMALL  RED ,2,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21740,COSY SLIPPER SHOES LARGE RED,1,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21741,COSY SLIPPER SHOES LARGE GREEN,2,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21744,SNOWFLAKE PORTABLE TABLE LIGHT ,1,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21746,SMALL RED SPOT  WINDMILL,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21752,GLASS CAKE STAND MIRRORED BASE,1,2009-12-14 17:16:00,30.39,,United Kingdom
491966,21754,HOME BUILDING BLOCK WORD,1,2009-12-14 17:16:00,12.13,,United Kingdom
491966,21755,LOVE BUILDING BLOCK WORD,3,2009-12-14 17:16:00,12.13,,United Kingdom
491966,21756,BATH BUILDING BLOCK WORD,1,2009-12-14 17:16:00,12.13,,United Kingdom
491966,21768,WALL MOUNTED VINTAGE ORGANISER,1,2009-12-14 17:16:00,30.39,,United Kingdom
491966,21774,DECORATIVE CATS BATHROOM BOTTLE,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21777,RECIPE BOX WITH METAL HEART,1,2009-12-14 17:16:00,17.35,,United Kingdom
491966,21781,MA CAMPAGNE CUTLERY BOX,1,2009-12-14 17:16:00,30.39,,United Kingdom
491966,21790,VINTAGE SNAP CARDS,9,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21791,VINTAGE HEADS AND TAILS CARD GAME ,9,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21801,CHRISTMAS TREE DECORATION WITH BELL,1,2009-12-14 17:16:00,0.87,,United Kingdom
491966,21807,WHITE CHRISTMAS STAR DECORATION,3,2009-12-14 17:16:00,0.87,,United Kingdom
491966,21808,"CHRISTMAS GARLAND STARS,TREES",1,2009-12-14 17:16:00,7.78,,United Kingdom
491966,21823,PAINTED METAL HEART WITH HOLLY BELL,2,2009-12-14 17:16:00,3.04,,United Kingdom
491966,21824,PAINTED METAL STAR WITH HOLLY BELLS,1,2009-12-14 17:16:00,3.04,,United Kingdom
491966,21825,PAINTED METAL TREE WITH HOLLY BELLS,1,2009-12-14 17:16:00,3.04,,United Kingdom
491966,21829,DINOSAUR KEYRINGS ASSORTED,1,2009-12-14 17:16:00,0.43,,United Kingdom
491966,21833,CAMOUFLAGE LED TORCH,1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21843,RETRO SPOT CAKE STAND,2,2009-12-14 17:16:00,21.7,,United Kingdom
491966,21844,RETRO SPOT MUG,2,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21846,PINK DIAMANTE PEN IN GIFT BOX,3,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21868,POTTING SHED TEA MUG,2,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21874,GIN AND TONIC MUG,1,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21875,KINGS CHOICE MUG,3,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21876,POTTERING MUG,2,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21880,RED AND WHITE SPOT TAPE,3,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21883,STARS GIFT TAPE ,3,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21888,BINGO SET,1,2009-12-14 17:16:00,7.78,,United Kingdom
491966,21889,WOODEN BOX OF DOMINOES,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21891,TRADITIONAL WOODEN SKIPPING ROPE,5,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21892,TRADITIONAL WOODEN CATCH CUP GAME ,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21894,POTTING SHED SEED ENVELOPES,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21896,POTTING SHED TWINE,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21899,"KEY FOB , GARAGE DESIGN",1,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21903,MAN FLU METAL SIGN,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21908,CHOCOLATE THIS WAY METAL SIGN,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21912,VINTAGE SNAKES & LADDERS,1,2009-12-14 17:16:00,7.78,,United Kingdom
491966,21913,VINTAGE SEASIDE JIGSAW PUZZLES,2,2009-12-14 17:16:00,7.78,,United Kingdom
491966,21918,SET 12 KIDS COLOUR  CHALK STICKS,1,2009-12-14 17:16:00,0.83,,United Kingdom
491966,21919,Electronic Talking Breath-A-Loser,1,2009-12-14 17:16:00,5.17,,United Kingdom
491966,21931,JUMBO STORAGE BAG SUKI,1,2009-12-14 17:16:00,4.3,,United Kingdom
491966,21934,SKULL SHOULDER BAG,2,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21935,SUKI  SHOULDER BAG,5,2009-12-14 17:16:00,3.43,,United Kingdom
491966,21937,STRAWBERRY   PICNIC BAG,1,2009-12-14 17:16:00,6.04,,United Kingdom
491966,21942,SKULLS DESIGN FLANNEL,4,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21945,STRAWBERRIES  DESIGN FLANNEL ,5,2009-12-14 17:16:00,1.7,,United Kingdom
491966,21948,SET OF 6 CAKE CHOPSTICKS,2,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21950,SET OF 6 DOTS CHOPSTICKS,1,2009-12-14 17:16:00,2.57,,United Kingdom
491966,21976,PACK OF 60 MUSHROOM CAKE CASES,1,2009-12-14 17:16:00,1.3,,United Kingdom
491966,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2009-12-14 17:16:00,1.3,,United Kingdom
491966,21980,PACK OF 12 RED SPOTTY TISSUES ,1,2009-12-14 17:16:00,0.83,,United Kingdom
491966,21981,PACK OF 12 WOODLAND TISSUES ,4,2009-12-14 17:16:00,0.83,,United Kingdom
491966,21985,PACK OF 12 HEARTS DESIGN TISSUES ,1,2009-12-14 17:16:00,0.83,,United Kingdom
