Australia,Austria,Belgium,Channel Islands,Cyprus,Denmark,EIRE,Finland,France,Germany,Greece,Italy,Japan,Netherlands,Spain,Sweden,Switzerland,USA,United Kingdom,Unspecified
,,,,,,,,90.0,12.0,12.0,,,192.0,,,,,1015.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,39.0,
,,12.0,,,,,,,,,,,,,,,,8.0,
,,12.0,,,,,,36.0,24.0,,,,288.0,,,,,24.0,
,,,,,,,,96.0,12.0,,,,12.0,,,,,433.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,30.0,
,,,,,,,,,,,,,,,,,,4.0,
,,12.0,,,,,,,,,,,,,,,,46.0,
,,12.0,,,,,,48.0,24.0,,,,288.0,,,,,12.0,
,,,,,,,,72.0,12.0,,,,,,,,,40.0,
,,,,,,,,96.0,12.0,,,,288.0,,,,,564.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,34.0,
,,,,,,,,,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,34.0,
,,,,,,,,,,,,,,,,,,28.0,
,,,,,,,,,,,,,,,,,,426.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,,68.0,
,,,,,,,,,,,,,,,,,,99.0,
,,,,,,,,,,,,,,,,,,231.0,
,,,,,,,,,,,,,,,,,,17.0,
,,,,,,,,,,,,,,,,,,36.0,
,,,,,,,,,,,,,,,,,,46.0,
,,,,,,,,,,,,,,,,,,45.0,
,,,,,,50.0,,,,,,,,,,,,252.0,
,,,,,,,,,4.0,,,,,,,,,41.0,
,,,,,,3.0,,,,,,,,12.0,,,,50.0,
,,,,,,,,,,,,,24.0,,,,,,
,,,,,,,,,,,,,,,,,,13.0,
,,,,,,,,,,,,,,,,,,1.0,
,,24.0,,,,24.0,,72.0,48.0,,,,576.0,,,,24.0,311.0,
,,,,,,,,72.0,24.0,,,,288.0,,,,32.0,295.0,
,,,,,,,,24.0,,,,,,,,,24.0,119.0,
,,,,,,,,72.0,24.0,,,,288.0,,,,30.0,217.0,
,,,,,,48.0,,12.0,,,24.0,,,,,,,118.0,
,,,,,,60.0,,,,,24.0,,,,,,,116.0,
,,,,,,,,,,,,,,,,,,9.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,12.0,6.0,,,,,,,,,22.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,,,36.0,
,,,,,,,,,,,,,,,,,,16.0,
,,,,,,,,8.0,,,,,,16.0,,,,85.0,
,,,,,,,,,,,,,,32.0,,,,131.0,
,,,,,,,,12.0,,,,,,,,,,198.0,
,,,,,,,,,,,,,,,,,,70.0,
,,,,,,,,,,,,,,,,,,30.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,,,,,,,,,,18.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,2.0,2.0,,,,,12.0,,,,40.0,
,,,,,,10.0,,20.0,30.0,,,,50.0,,,,,327.0,
,,,,,,6.0,,,12.0,,,,,24.0,,6.0,,170.0,
,,,,,,8.0,,24.0,32.0,,,,150.0,,,,,348.0,
,,6.0,,,,6.0,,,36.0,,,,,24.0,,,,86.0,
,,,,,,12.0,,,,,,,,,,,,266.0,
,,,,,,12.0,,,,,,,,,,,,229.0,
,,,,,,12.0,,,,,,,,,,,,271.0,
,,,,,,12.0,,,,,,,,,,,,246.0,
,,,,,,12.0,,,,,,,,,,,,158.0,
,,,,,,,,,,,,,,,,,,168.0,
,,,,6.0,,288.0,,,12.0,,,,,12.0,,,,410.0,
,,,,12.0,,,,,,,,,,,,,,594.0,
,,,,,,,,,,,,,,,,,,17.0,
,,,,,,,,,,,,,,,,,,46.0,
,,,,,,,,,,,,,,,,,,43.0,
,,,,12.0,,,,,,,,,,36.0,,,,21.0,
,,,,,,,,,,,,,,,,,,80.0,
,,,,,,,,,,,,,,,,,,52.0,
,,,,,,,,,,,,,,,,,,571.0,
,,,,6.0,,,,,,,,,,,,,,896.0,
,,,,12.0,,,,,,,,,,,,,,510.0,
,,,,,,288.0,,,,,,,,,,,,812.0,
,,,,3.0,,6.0,,,,,,,,,,,,50.0,
,,,,,,,,,,,,,,,,,,262.0,
,,,,,,,,,,,,,,,,,,22.0,
,,,,,,,,,,,,,,,,,,48.0,
,,,,,,,,,,,,,,,,,,32.0,
,,,,,,,,,,,,,,,,,,157.0,
,,,,,,,,,,,,,,,,,,30.0,
,,,,,,,,,,,,,,,,,,66.0,
,,,,,,,,,,,,,,,,,,34.0,
,,,,,,,,,,,,,,,,,,13.0,
,,,,,,,,,,,,,,,,,,31.0,
,,,,,,,,,,,,,,,,,,34.0,
,,,,,,,,,,,,,,,,,,94.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,37.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,79.0,
,,,,,,,,,,,,,,,,,,30.0,
,,,,,,,,,,,,,,,,,,25.0,
,,,,,,,,,,,,,,,,,,35.0,
,,,,,,,,12.0,,,,,,,,,,53.0,
,,,,,,,,,,,,,,,,,,12.0,
,,,,,,,,,,,,,,,,,,31.0,
,,,,,,24.0,12.0,12.0,12.0,,,,192.0,12.0,,,24.0,213.0,
,,,,,,,,,,,,,,,,,,24.0,
,,24.0,,,24.0,768.0,24.0,84.0,24.0,,,,480.0,,240.0,,,3661.0,
,,,,,24.0,,,24.0,,,,,240.0,,,,24.0,2019.0,
,,,,,,12.0,,,,,,,,,,,,71.0,
,,,,,,480.0,,,,,,,,,,,,41.0,
,,4.0,,,,72.0,4.0,4.0,3.0,,,,120.0,,,,,180.0,
,2.0,1.0,,,,3.0,,1.0,-2.0,,,,,24.0,,,,163.0,
,,,,,,,,,6.0,,,,168.0,24.0,,,,260.0,
,,,,,,,,10.0,,,,,,,,,,7.0,
,,,,,,,,,,,,,,,,,,18.0,
,,,,,,,,,,,,,,,,,,7.0,
,,,,,,,,,,,,,,10.0,,,,13.0,
,,,,,,,,10.0,30.0,,,,200.0,,,,,16.0,
,,,,,,,,10.0,,,,,20.0,,,,,80.0,
,,,,,,,,,,,,,,,,,,1.0,
,,,,,,,,,15.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,,,,,,,,,,,,,-47.0,
,,,,,72.0,36.0,,,18.0,,,,,,,,,2662.0,
,16.0,,,,,,8.0,8.0,21.0,,,,,,,,,162.0,
,16.0,,,,,,,8.0,24.0,,,,,,,,,116.0,
,16.0,,,,,,8.0,8.0,24.0,,,,,,,,,90.0,
,16.0,,,,,,8.0,8.0,8.0,,,,,,,,,73.0,
,16.0,,,,,,8.0,32.0,32.0,,,,,,,,,127.0,
,16.0,,,,,,8.0,16.0,24.0,,,,,,,,,93.0,
,16.0,,,,,,8.0,16.0,24.0,,,,,,,,,48.0,
,16.0,,,,,,8.0,24.0,16.0,,,,,,,,,169.0,
,,,,,,,,,,,,,,24.0,,,,28.0,
,,,,,,,,12.0,,12.0,,,,24.0,,,,25.0,
,,,,,,,,,,,,,,,,,,197.0,
,,6.0,,,,,,,12.0,,,,,,,,,43.0,
,,,,,,,,,,,,,12.0,,,,,38.0,
,,,,,,,,,,,,,,,,,,14.0,
,,,,,,,,,,,,,,,,,,65.0,
,,,,,,,,,,,,,,,,,,82.0,
,,,,,,,,,,,,,,,,,,-12.0,
,,,,,,,,,,,,,,,,,,153.0,
,,,,,,,,,,,,,,,,,,129.0,
,,,,2.0,,33.0,,,,,,,,,,,,61.0,
,,,,,,2.0,,,-1.0,,,,,,,,,38.0,
,,,,,,2.0,,,,,,,,,,,,56.0,
,,,,,,12.0,,,,,,,,,,,,145.0,
,,,,,,,,,,,,,,,,,,6.0,
,,,,,,,,,,,,,,,,,,3.0,
,,,,,,,,,,,,,,,,,1.0,12.0,
,,,,,,,,,,,,,,,,,,8.0,
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,,,,,,,,,,,,24.0,8.0,
,,,,,,,,,,,,,,,,,,5.0,
,,,,,,,,,,,,,,4.0,,,,1.0,
,,,,12.0,,,,,,,,,,,,,,75.0,
,,,,1.0,,,,,,2.0,,,,,,,,12.0,
,,,,,,16.0,,,8.0,,,,,,,,,116.0,
,,,,2.0,,24.0,,,24.0,,,,,,,,,263.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,6.0,,,,6.0,,,,,,,,44.0,
,,,,,,,,,,6.0,,,,,,,,11.0,
,,,,,,,,,,6.0,,,48.0,,,,,304.0,
,,,,,,,,,,6.0,,,48.0,,,,,152.0,
,,,,,48.0,,,,,,,,,,,,,32.0,
,,,,,24.0,,,,,3.0,,,,,,,,73.0,
,,,,,,,,,,,,,,,,,,36.0,
,,,,,,,,,,,,,,,,,,18.0,
,,,,,,,,,,,,,,24.0,,,,17.0,
,,,,,,,,,,,,,,,,,,744.0,
,,,,,,32.0,,,,,,,,,,,,163.0,
,,,,,,32.0,,,,,,,,,,,,139.0,
,,,,,,,,,,,,,,,,,,2.0,
,,,,,,32.0,,,,,,,,,,,,124.0,
